node_from,node_to,Branch capacity (MW),Branch cost (€),Branch status LF-SCF,Branch status LF-STE,Branch status OL-SSTE
1,2,10,1049144.709,0,0,0
1,3,10,1052106.281,0,0,0
1,4,10,33085.88649,0,0,0
1,5,10,24046.95637,0,0,0
1,6,10,32985.71939,0,0,0
1,7,10,1033795.072,0,0,0
1,8,10,61544.54285,0,0,0
1,9,10,52773.01822,0,0,0
1,10,10,1064161.475,0,0,0
1,11,10,1100512.802,0,0,0
1,12,10,1094773.428,0,0,0
1,13,10,1073256.861,0,0,0
1,14,10,1068959.746,0,0,0
1,15,10,1048615.771,0,0,0
1,16,10,36799.69869,0,0,0
1,17,10,1078052.922,0,0,0
1,18,10,60468.98086,0,0,0
1,19,10,53499.30316,0,0,0
1,20,10,1051883.188,0,0,0
1,21,10,1069668.009,0,0,0
1,22,10,1070059.052,0,0,0
1,23,10,1097811.051,0,0,0
1,24,10,54161.67287,0,0,0
1,25,10,67709.64065,0,0,0
1,26,10,37530.06249,0,0,0
1,27,10,61382.10214,0,0,0
1,28,10,37032.90969,0,0,0
1,29,10,41731.77598,0,0,0
1,30,10,17711.58376,0,0,0
1,31,10,1071660.921,0,0,0
1,32,10,63037.64817,0,0,0
1,33,10,1062802.06,0,0,0
1,34,10,1073044.811,0,0,0
1,35,10,18352.20809,0,0,0
1,36,10,58908.48787,0,0,0
1,37,10,1099746.915,0,0,0
1,38,10,36740.49051,0,0,0
1,39,10,42449.74011,0,0,0
1,40,10,41287.8618,0,0,0
1,41,10,1046638.027,0,0,0
1,42,10,45354.58679,0,0,0
1,43,10,1078696.521,0,0,0
1,44,10,1087985.672,0,0,0
1,45,10,32104.49178,0,0,0
1,46,10,26990.29705,1,1,1
1,47,10,17452.46915,0,0,0
1,48,10,26380.31389,0,0,0
1,49,10,46077.17119,1,1,1
1,50,10,1044165.128,0,0,0
1,51,10,63425.841,0,0,0
1,52,10,50789.71246,0,0,0
1,53,10,1060539.557,0,0,0
1,54,10,1089517.377,0,0,0
1,55,10,24091.53547,0,0,0
1,56,10,35916.29402,0,0,0
1,57,10,56946.63953,0,0,0
1,58,10,48907.15011,0,0,0
1,59,10,23782.49114,0,0,0
1,60,10,48987.91529,0,0,0
1,61,10,1142008.657,0,0,0
1,62,10,117777.1113,0,0,0
1,63,10,1126287.256,0,0,0
1,64,10,1137195.89,0,0,0
1,65,10,1180981.569,0,0,0
1,66,10,37594.70528,0,0,0
1,67,10,119746.6158,0,0,0
1,68,10,142219.5695,0,0,0
1,69,10,120148.8088,0,0,0
1,70,10,1168801.059,0,0,0
1,71,10,1078970.054,0,0,0
1,72,10,1113706.603,0,0,0
1,73,10,1158761.632,0,0,0
1,74,10,1164061.407,0,0,0
1,75,10,79818.55144,0,0,0
1,76,10,127366.5002,0,0,0
1,77,10,94483.75325,0,0,0
1,78,10,73402.58285,0,0,0
1,79,10,101083.4534,0,0,0
1,80,10,1103062.822,0,0,0
1,81,10,1116142.627,0,0,0
1,82,10,1114603.741,0,0,0
1,83,10,93220.03587,0,0,0
1,84,10,138740.2802,0,0,0
1,85,10,1149217.954,0,0,0
1,86,10,1094540.902,0,0,0
1,87,10,96764.86477,0,0,0
1,88,10,104956.1825,0,0,0
1,89,10,1111411.277,0,0,0
1,90,10,104224.4597,0,0,0
1,91,10,88981.72089,0,0,0
1,92,10,1163095.421,0,0,0
1,93,10,113077.7619,0,0,0
1,94,10,143588.8062,0,0,0
1,95,10,138252.5877,0,0,0
1,96,10,124615.1518,0,0,0
1,97,10,1182922.637,0,0,0
1,98,10,1123056.975,0,0,0
1,99,10,1109469.088,0,0,0
1,100,10,72546.88851,0,0,0
1,101,10,1093629.659,0,0,0
1,102,10,60084.80401,0,0,0
1,103,10,72834.85967,0,0,0
1,104,10,1167787.917,0,0,0
2,3,10,2961.571957,1,1,1
2,4,10,1081258.452,0,0,0
2,5,10,1069075.246,0,0,0
2,6,10,1070113.452,0,0,0
2,7,10,21494.15387,0,0,0
2,8,10,1054556.491,0,0,0
2,9,10,1073937.278,0,0,0
2,10,10,67445.5445,0,0,0
2,11,10,54687.3401,0,0,0
2,12,10,47498.85921,0,0,0
2,13,10,82003.52954,0,0,0
2,14,10,32502.43515,0,0,0
2,15,10,29079.39828,0,0,0
2,16,10,1078750.586,0,0,0
2,17,10,28908.21284,0,0,0
2,18,10,1098236.466,0,0,0
2,19,10,1087832.714,0,0,0
2,20,10,14989.60205,0,0,0
2,21,10,56889.64942,0,0,0
2,22,10,58884.05205,0,0,0
2,23,10,101883.7899,0,0,0
2,24,10,1045746.186,0,0,0
2,25,10,1072659.069,0,0,0
2,26,10,1079198.93,0,0,0
2,27,10,1082192.378,0,0,0
2,28,10,1035876.984,0,0,0
2,29,10,1059608.578,0,0,0
2,30,10,1062080.661,0,0,0
2,31,10,61005.75163,0,0,0
2,32,10,1068807.587,0,0,0
2,33,10,29118.52609,0,0,0
2,34,10,26330.92262,0,0,0
2,35,10,1067402.497,0,0,0
2,36,10,1078858.399,0,0,0
2,37,10,101329.9354,0,0,0
2,38,10,1047903.049,0,0,0
2,39,10,1089947.995,0,0,0
2,40,10,1041886.008,0,0,0
2,41,10,8713.350411,1,1,1
2,42,10,1093471.026,0,0,0
2,43,10,81855.06003,0,0,0
2,44,10,63549.40986,0,0,0
2,45,10,1080220.931,0,0,0
2,46,10,1058511.333,0,0,0
2,47,10,1066597.178,0,0,0
2,48,10,1028733.807,0,0,0
2,49,10,1035478.756,0,0,0
2,50,10,8774.196479,0,0,0
2,51,10,1084236.116,0,0,0
2,52,10,1060470.368,0,0,0
2,53,10,11394.84784,0,0,0
2,54,10,65776.12481,0,0,0
2,55,10,1046087.961,0,0,0
2,56,10,1059659.543,0,0,0
2,57,10,1075970.496,0,0,0
2,58,10,1079818.324,0,0,0
2,59,10,1069690.414,0,0,0
2,60,10,1068727.306,0,0,0
2,61,10,113930.0569,0,0,0
2,62,10,1128138.197,0,0,0
2,63,10,132468.386,0,0,0
2,64,10,88736.04549,0,0,0
2,65,10,131836.8601,0,0,0
2,66,10,1084874.049,0,0,0
2,67,10,1167919.181,0,0,0
2,68,10,1191364.278,0,0,0
2,69,10,1159809.762,0,0,0
2,70,10,119656.3502,0,0,0
2,71,10,60267.39561,0,0,0
2,72,10,87707.91927,0,0,0
2,73,10,112176.7459,0,0,0
2,74,10,116015.7196,0,0,0
2,75,10,1121401.365,0,0,0
2,76,10,1129945.284,0,0,0
2,77,10,1096852.875,0,0,0
