node_from,node_to,Branch capacity (MW),Branch cost (€),Branch status LF-SCF,Branch status LF-STE,Branch status OL-SSTE
1,5,10,23756.64042,0,0,0
1,6,10,21340.96973,0,0,0
1,30,10,9057.851152,0,1,0
1,35,10,15857.64189,0,0,0
1,46,10,23426.516,0,0,0
1,47,10,10213.28506,1,0,0
1,48,10,15039.0928,1,1,0
1,55,10,15236.82489,0,0,1
1,59,10,12036.5615,0,0,1
1,107,10,25526.24173,0,0,0
1,201,10,48416.02629,0,0,0
1,202,10,60447.64442,0,0,0
1,203,10,1078069.231,0,0,0
1,204,10,72386.11598,0,0,0
1,205,10,134383.8466,0,0,0
2,3,10,2279.74287,1,1,0
2,7,10,12357.71729,0,0,0
2,15,10,17558.49574,0,0,0
2,20,10,11872.18698,0,0,1
2,28,10,18027.43614,0,0,0
2,34,10,14263.04485,0,0,0
2,41,10,4942.699059,0,0,0
2,49,10,19377.69468,0,0,0
2,50,10,8299.404046,1,1,1
2,53,10,11069.68277,0,0,0
2,201,10,48749.82933,0,0,0
2,202,10,35901.54295,0,0,0
2,203,10,1075169.864,0,0,0
2,204,10,82337.94135,0,0,0
2,205,10,96922.98845,0,0,0
3,7,10,14637.46016,0,0,1
3,14,10,21172.85267,0,0,0
3,15,10,16885.08957,0,0,0
3,20,10,13931.72637,0,0,0
3,28,10,18732.92521,0,0,0
3,34,10,11983.30198,0,0,0
3,41,10,5321.6049,1,1,1
3,49,10,19573.60473,0,0,0
3,50,10,10579.14692,0,0,0
3,53,10,8789.939901,0,0,0
3,201,10,49747.80551,0,0,0
3,202,10,34688.19305,0,0,0
3,203,10,1075527.038,0,0,0
3,204,10,83204.52339,0,0,0
3,205,10,94643.24558,0,0,0
4,5,10,9446.856492,0,0,0
4,16,10,17150.83047,0,0,0
4,26,10,19558.93,0,0,0
4,35,10,10237.63277,0,0,0
4,39,10,5900.125179,1,1,0
4,42,10,9899.307961,0,0,0
4,45,10,1107.701978,1,1,1
4,46,10,18788.61736,0,0,1
4,47,10,17702.41957,0,0,0
4,107,10,20913.72363,0,0,0
4,201,10,58503.02328,0,0,0
4,202,10,83241.67902,0,0,0
4,203,10,1090979.458,0,0,0
4,204,10,72778.67459,0,0,0
4,205,10,159664.583,0,0,0
5,16,10,13506.80663,0,0,0
5,26,10,15260.32386,0,0,1
5,29,10,20683.47857,0,0,1
5,35,10,8910.063453,1,0,0
5,39,10,14359.71411,0,0,0
5,42,10,16175.41026,0,0,0
5,45,10,8339.154514,1,1,0
5,46,10,9928.04284,0,0,0
5,47,10,18040.2917,0,0,0
5,55,10,17732.7145,0,0,0
5,201,10,51025.28639,0,1,0
5,202,10,82079.82031,0,0,0
5,203,10,1094593.175,0,0,0
5,204,10,66102.45045,0,0,0
5,205,10,156538.454,0,0,0
6,7,10,26482.51855,0,0,0
6,28,10,26505.04589,0,0,0
6,30,10,13397.49809,1,1,0
6,38,10,23001.56829,0,0,1
6,47,10,21732.09856,0,0,0
6,48,10,27065.5229,0,0,1
6,56,10,13021.68705,1,1,0
6,59,10,17600.24445,0,0,0
6,60,10,24471.59387,0,0,0
6,107,10,25319.34932,0,0,0
6,201,10,63914.4687,0,0,0
6,202,10,47822.55516,0,0,0
6,203,10,1059639.739,0,0,0
6,204,10,90550.94389,0,0,0
6,205,10,130251.1746,0,0,0
7,15,10,19272.24061,0,0,0
7,20,10,16773.13698,0,0,1
7,28,10,10917.48954,1,0,0
7,38,10,17046.6588,0,0,0
7,40,10,18415.3437,0,0,0
7,41,10,10979.23674,1,1,0
7,48,10,19370.5913,0,1,0
7,49,10,18341.15555,0,0,0
7,50,10,10855.10129,0,0,0
7,56,10,20949.64503,0,0,0
7,201,10,49026.40785,0,0,0
7,202,10,35585.41244,0,0,0
7,203,10,1067212.5,0,0,0
7,204,10,83764.98161,0,0,0
7,205,10,107652.7356,0,0,0
8,15,10,18569.55671,0,0,1
8,24,10,7062.12051,0,0,0
8,25,10,9306.680069,0,0,0
8,32,10,9353.817706,1,1,0
8,33,10,17525.08539,0,0,1
8,40,10,18938.79832,0,0,0
8,49,10,17937.40575,0,0,0
8,151,10,18169.83226,0,0,0
8,195,10,15721.15445,0,0,0
8,201,10,84411.69483,0,0,0
8,202,10,1110.688916,1,1,0
8,203,10,1047172.31,0,0,0
8,204,10,117403.5189,0,0,0
8,205,10,90605.97587,0,0,0
9,10,10,15081.31081,0,1,0
