Node ID,x (km),y (km),load (MW),typology
1,-0.033898305,-0.008474576,0.38,SS
2,-1.118644068,-0.618644068,0.11,SS
3,-1.186440678,-0.652542373,0.46,SS
4,0.711864407,0.36440678,0.36,SS
5,0.711864407,0.059322034,0.36,SS
6,-0.508474576,0.43220339,0.34,SS
7,-0.915254237,-0.279661017,0.17,SS
8,-2,0.161016949,0.44,SS
9,1.254237288,-0.584745763,0.28,SS
10,0.915254237,-0.923728814,0.23,SS
11,-1.593220339,-1.466101695,0.51,SS
12,-1.661016949,-1.330508475,0.42,SS
13,1.457627119,-0.923728814,0.18,SS
14,-0.711864407,-1.093220339,0.41,SS
15,-1.525423729,-0.211864407,0.15,SS
16,1.118644068,-0.008474576,0.53,SS
17,-1.93220339,-0.855932203,0.63,SS
18,1.93220339,-0.042372881,0.4,SS
19,1.661016949,-0.245762712,0.53,SS
20,-0.779661017,-0.788135593,0.11,SS
21,0.440677966,-1.093220339,0.4,SS
22,0.440677966,-1.127118644,0.2,SS
23,1.86440678,-1.330508475,0.38,SS
24,-1.796610169,0.059322034,0.24,SS
25,-2,0.466101695,0.17,SS
26,1.186440678,-0.042372881,0.46,SS
27,1.593220339,-0.618644068,0.29,SS
28,-1.186440678,-0.042372881,0.07,SS
29,0.711864407,-0.584745763,0.21,SS
30,-0.101694915,0.262711864,0.34,SS
31,0.576271186,-1.093220339,0.38,SS
32,-1.86440678,0.43220339,0.22,SS
33,-1.93220339,-0.415254237,0.5,SS
34,-1.322033898,-1.025423729,0.39,SS
35,0.440677966,0.161016949,0.4,SS
36,1.457627119,-0.584745763,0.32,SS
37,1.796610169,-1.36440678,0.81,SS
38,-1.186440678,0.161016949,0.43,SS
39,0.847457627,0.5,0.28,SS
40,-1.389830508,0.059322034,0.59,SS
41,-1.186440678,-0.483050847,0.69,SS
42,0.983050847,0.5,0.4,SS
43,1.389830508,-1.093220339,0.97,SS
44,0.169491525,-1.398305085,0.32,SS
45,0.711864407,0.330508475,0.43,SS
46,0.644067797,-0.245762712,0.34,SS
47,0.169491525,0.262711864,0.37,SS
48,-0.305084746,-0.415254237,0.56,SS
49,-1.457627119,-0.076271186,0.42,SS
50,-0.847457627,-0.618644068,0.79,SS
51,1.661016949,-0.618644068,0.44,SS
52,-1.457627119,0.36440678,0.07,SS
53,-1.457627119,-0.686440678,0.28,SS
54,0.305084746,-1.43220339,0.62,SS
55,0.305084746,-0.347457627,0.36,SS
56,-0.915254237,0.36440678,0.02,SS
57,1.389830508,-0.618644068,0.26,SS
58,1.389830508,-0.245762712,0.03,SS
59,0.033898305,0.36440678,0.94,SS
60,-1.254237288,0.5,0.69,SS
61,-0.525179856,2.496402878,0.19,SS
62,-2.741007194,-1.820143885,0.91,SS
63,1.64028777,2.676258993,0.26,SS
64,-2.741007194,2.028776978,0.47,SS
65,-4,-0.09352518,0.31,SS
66,-0.575539568,-1.892086331,0.14,SS
67,2.294964029,-1.064748201,0.14,SS
68,3,1.561151079,0.31,SS
69,2.798561151,0.086330935,0.08,SS
70,-4,0.913669065,0.55,SS
71,-2.64028777,0.302158273,0.31,SS
72,-3.748201439,2.172661871,0.68,SS
73,-3.09352518,-0.417266187,0.71,SS
74,-3.294964029,1.669064748,0.73,SS
75,1.489208633,1.237410072,0.05,SS
76,-3.294964029,-1.172661871,0.3,SS
77,-2.589928058,-1.388489209,0.98,SS
78,1.18705036,0.949640288,0.56,SS
79,-2.791366906,1.237410072,0.91,SS
80,-3.194244604,-1.352517986,1.42,SS
81,-2.18705036,2.064748201,0.03,SS
82,-2.086330935,1.057553957,0.56,SS
83,1.841726619,-1.928057554,1.27,SS
84,2.647482014,1.345323741,1.26,SS
85,-3.09352518,0.625899281,0.92,SS
86,-3.194244604,1.705035971,0.43,SS
87,2.09352518,-1.604316547,0.05,SS
88,-3.143884892,-1.28057554,1.04,SS
89,-3.54676259,-0.920863309,0.62,SS
90,2.244604317,2.064748201,0.02,SS
91,0.230215827,-1.856115108,0.96,SS
92,2.143884892,-0.165467626,0.24,SS
93,1.589928058,-1.856115108,0.47,SS
94,2.848920863,-0.273381295,0.01,SS
95,2.496402878,-1.28057554,0.67,SS
96,2.798561151,1.201438849,0.76,SS
97,-4,-0.525179856,0.09,SS
98,-3.244604317,0.877697842,1.28,SS
99,-3.54676259,0.949640288,0.55,SS
100,-2.086330935,2.784172662,0.18,SS
101,2.345323741,0.050359712,0.56,SS
102,-3.194244604,0.050359712,0.12,SS
103,-3.09352518,-1.676258993,0.11,SS
104,-3.647482014,0.086330935,0.57,SS
105,-2.690647482,1.417266187,0.43,SS
106,-3.748201439,2.856115108,0.01,SS
107,0.179856115,0.805755396,0.5,SS
108,-2.086330935,-1.712230216,0.21,SS
109,2.244604317,-1.424460432,0.76,SS
110,-2.841726619,0.661870504,0.69,SS
111,-3.949640288,-0.09352518,0.13,SS
112,-3.597122302,-1.820143885,0.18,SS
113,-1.431654676,1.597122302,0.69,SS
114,1.64028777,-1.748201439,0.36,SS
115,-0.978417266,1.021582734,1.01,SS
116,2.848920863,1.417266187,0.32,SS
117,-0.122302158,1.057553957,0.46,SS
118,-2.18705036,0.913669065,0.56,SS
119,-0.273381295,1.81294964,0.09,SS
120,1.791366906,1.489208633,0.56,SS
121,-1.73381295,0.769784173,0.03,SS
122,-3.597122302,-0.057553957,0.91,SS
123,-1.179856115,-1.676258993,0.22,SS
124,-2.086330935,2.892086331,0.37,SS
125,0.079136691,2.208633094,0.24,SS
126,0.834532374,1.741007194,0.46,SS
127,-3.597122302,2.604316547,0.45,SS
128,-3.748201439,2.496402878,0.98,SS
129,-2.338129496,1.776978417,0.43,SS
130,2.194244604,0.985611511,0.87,SS
131,-4,1.021582734,0.69,SS
132,-1.330935252,1.309352518,0,SS
133,2.143884892,0.985611511,0.53,SS
134,0.582733813,1.597122302,0.87,SS
135,-4,2.064748201,0.1,SS
136,-4,0.769784173,0.74,SS
137,2.194244604,-0.81294964,0.43,SS
138,1.741007194,2.28057554,1.07,SS
139,-0.424460432,2.388489209,0.47,SS
140,0.784172662,-1.64028777,0.59,SS
141,2.194244604,2.100719424,0.17,SS
142,2.798561151,2.496402878,0.16,SS
143,-1.482014388,-1.784172662,1.17,SS
144,-1.683453237,2.028776978,0.01,SS
145,-2.539568345,-0.561151079,0.3,SS
146,2.54676259,1.669064748,0.78,SS
147,1.237410072,2.568345324,0.55,SS
148,-1.985611511,1.992805755,0.12,SS
149,2.294964029,0.374100719,0.46,SS
150,-1.028776978,2.784172662,0.05,SS
151,-2.489208633,-0.165467626,0.45,SS
152,-3.899280576,1.633093525,1.21,SS
153,1.64028777,2.388489209,0.31,SS
154,-3.597122302,-0.345323741,1.04,SS
155,2.143884892,-0.705035971,0.33,SS
156,1.741007194,1.273381295,0.15,SS
157,-3.294964029,-0.669064748,0.21,SS
158,-1.28057554,2.532374101,1.1,SS
159,-2.035971223,-1.748201439,0.05,SS
160,2.496402878,-0.165467626,1.21,SS
161,0.582733813,1.309352518,0.42,SS
162,-1.129496403,1.741007194,0.46,SS
163,-3.647482014,-0.021582734,1.36,SS
164,-3.345323741,2.424460432,0.57,SS
165,2.446043165,-1.136690647,0.59,SS
166,2.496402878,2.64028777,0.68,SS
167,-3.345323741,1.848920863,0.71,SS
168,0.431654676,0.985611511,0.55,SS
169,-1.482014388,-1.964028777,0.35,SS
170,-2.690647482,1.920863309,0.68,SS
171,2.345323741,1.057553957,0.51,SS
172,-0.021582734,1.597122302,0.5,SS
173,-2.438848921,1.561151079,0.6,SS
174,1.589928058,2.964028777,0.23,SS
175,0.431654676,2.388489209,0.58,SS
176,-2.589928058,-1.460431655,0.24,SS
177,-1.683453237,2.712230216,0.68,SS
178,2.949640288,-1.532374101,0.04,SS
179,-2.388489209,-0.81294964,0.7,SS
180,-3.697841727,2.568345324,0.25,SS
181,2.345323741,-1.532374101,0.39,SS
182,0.179856115,-1.892086331,0.67,SS
183,2.697841727,0.841726619,0.28,SS
184,-0.575539568,2.388489209,0,SS
185,-3.395683453,2.928057554,0.37,SS
