Node ID,x (km),y (km),load (MW),typology
1,-1.25,1.75,0.38,SS
2,1,2.75,0.11,SS
3,-0.625,2.625,0.46,SS
4,-1.625,0.5,0.36,SS
5,-1,0.875,0.36,SS
6,-0.125,2.5,0.34,SS
7,-1,1.625,0.17,SS
8,-1.75,1.125,0.44,SS
9,-1.125,1.25,0.28,SS
10,-1.75,3,0.23,SS
11,0.375,1.75,0.51,SS
12,-0.5,3,0.42,SS
13,1,1.75,0.18,SS
14,0.75,1.51,0.41,SS
15,-0.875,1.875,0.15,SS
16,0.625,2.75,0.53,SS
17,-0.5,1.25,0.63,SS
18,-1.875,1.125,0.4,SS
19,0.875,2.875,0.53,SS
20,-0.875,1.5,0.11,SS
21,0.75,2,0.4,SS
22,-1.125,2.25,0.2,SS
23,-1.625,2.625,0.38,SS
24,-0.75,1.875,0.24,SS
25,-0.125,1.875,0.17,SS
26,-2.479166667,3.083333333,0.19,SS
27,-5.729166667,5.416666667,0.91,SS
28,-2.208333333,2.791666667,0.26,SS
29,-3.020833333,-0.125,0.47,SS
30,-1.9375,-1,0.31,SS
31,-3.5625,5.708333333,0.14,SS
32,-1.395833333,4.541666667,0.14,SS
33,-1.395833333,5.125,0.31,SS
34,-0.854166667,4.541666667,0.08,SS
35,-1.666666667,4.833333333,0.55,SS
36,-6,1.625,0.31,SS
37,-5.1875,4.541666667,0.68,SS
38,-3.020833333,6,0.71,SS
39,-4.375,4.25,0.73,SS
40,-0.041666667,5.416666667,0.05,SS
41,-3.291666667,1.625,0.3,SS
42,-4.104166667,0.458333333,0.98,SS
43,-1.9375,5.708333333,0.56,SS
44,-2.208333333,0.458333333,0.91,SS
45,-0.854166667,3.375,1.42,SS
46,-0.3125,6,0.03,SS
47,-4.645833333,5.708333333,0.56,SS
48,-4.104166667,3.375,1.27,SS
49,-3.833333333,0.166666667,1.26,SS
50,-5.458333333,2.791666667,0.92,SS
51,-0.374166926,0.01,0,PS
52,-2,2.438749611,0,PS
53,-4.238680836,2.793610507,0,PS
54,-2.477361672,2.793610507,0,PS
